Обозначение кабеля, провода	Трасса		Проxод через				Кабель, провод					
	Начало	Конец	трубу			Протяжной ящик №	по проекту			проложено		
			Обозначение	Диаметр по стандарту, мм	Длина, м		Марка	Кол., число и сечение жил	Длина, м	Марка	Кол., число и сечение жил	Длина, м
1	2	3	4	5	6	7	8	9	10	11	12	не найден
Шкаф 7ЩСУ1											 	
Сепаратор магнитный поз. 111-Iа (привод 1)											 	
111-Iа-S3	Шкаф 7ЩСУ1	Пост сигнализации (111-Iа.HA1)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5				10,7
			РЗ ЦПнг	15								
111-Iа-K1	Шкаф 2ШУ4 Панель 2	Шкаф 7ЩСУ1					МКЭШнг(A)-LS	10x0,75	25			14
												
111-Iа-K2	Шкаф 2ШУ4 Панель 2	Пульт местного управления (111-Iа.SB)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,75				9,1
			РЗ ЦПнг	15								
Грохот инерционный поз. 111-Iб (привод 2)											 	
111-Iб-K1	Шкаф 2ШУ4 Панель 2	Шкаф 7ЩСУ1					МКЭШнг(A)-LS	10x0,75	25			14
												
Сепаратор магнитный поз. 111-IIа (привод 1)											 	
111-IIа-S3	Шкаф 7ЩСУ1	Пост сигнализации (111-IIа.HA1)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5				10,7
			РЗ ЦПнг	15								
111-IIа-K1	Шкаф 2ШУ4 Панель 2	Шкаф 7ЩСУ1					МКЭШнг(A)-LS	10x0,75	25			14
												
111-IIа-K2	Шкаф 2ШУ4 Панель 2	Пульт местного управления (111-IIа.SB)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,75				9,1
			РЗ ЦПнг	15								
Грохот инерционный поз. 111-IIб (привод 2)											 	
111-IIб-K1	Шкаф 2ШУ4 Панель 2	Шкаф 7ЩСУ1					МКЭШнг(A)-LS	10x0,75	25			14
												
Шкаф 8ЩСУ3											 	
Ввод											 	
8SSU2-K1	Шкаф 3ШУ4 Панель 2	Шкаф 8ЩСУ3					МКЭШнг(A)-LS	10x0,75	10			14
												
Питание шкафа ШУ155-III поз. SU155-III											 	
SU155-III-K1	Шкаф 3ШУ4 Панель 2	Шкаф 8ЩСУ3					МКЭШнг(A)-LS	7x0,75	10			10,8
												
Питание шкафа ШУ164-I поз. SU164-I											 	
SU164-I-K1	Шкаф 3ШУ4 Панель 2	Шкаф 8ЩСУ3					МКЭШнг(A)-LS	7x0,75	10			10,8
												
Питание шкафа ШУ164-III поз. SU164-III											 	
SU164-III-K1	Шкаф 3ШУ4 Панель 2	Шкаф 8ЩСУ3					МКЭШнг(A)-LS	7x0,75	10			10,8
												
Питание шкафа ШУ209-I поз. SU209-I											 	
SU209-I-K1	Шкаф 3ШУ4 Панель 2	Шкаф 8ЩСУ3					МКЭШнг(A)-LS	4x0,75	10			9,1
												
Питание шкафа ШУ209-II поз. SU209-II											 	
SU209-II-K1	Шкаф 3ШУ4 Панель 2	Шкаф 8ЩСУ3					МКЭШнг(A)-LS	4x0,75	10			9,1
												
Питание шкафа ШУ209-III поз. SU209-III											 	
SU209-III-K1	Шкаф 3ШУ4 Панель 2	Шкаф 8ЩСУ3					МКЭШнг(A)-LS	4x0,75	10			9,1
												
Питание шкафа ШУ209-IV поз. SU209-IV											 	
SU209-IV-K1	Шкаф 3ШУ4 Панель 2	Шкаф 8ЩСУ3					МКЭШнг(A)-LS	4x0,75	10			9,1
												
Шкаф 8ЩСУ4											 	
Ввод											 	
8SSU4-K1	Шкаф 3ШУ4 Панель 2	Шкаф 8ЩСУ4					МКЭШнг(A)-LS	10x0,75	10			14
												
Насос центробежный поз. 213-I											 	
213-I-S2	Шкаф 8ЩСУ4	Пост сигнализации (213-I.HA1)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5				10,7
			РЗ ЦПнг	15								
213-I-K1	Шкаф 3ШУ4 Панель 2	Шкаф 8ЩСУ4					МКЭШнг(A)-LS	10x0,75	10			14
												
213-I-K2	Шкаф 3ШУ4 Панель 5	Шкаф 8ЩСУ4					МКЭШнг(A)-LS	7x0,75	10			10,8
												
213-I-K3	Шкаф 3ШУ4 Панель 2	Пульт местного управления (213-I.SB)	Труба	20х2,8 			МКЭШнг(A)-LS	7x0,75				10,8
			РЗ ЦПнг	15								
213-I-K4	Шкаф 3ШУ4 Панель 5	Пульт местного управления (213-I.SB)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,75				9,1
			РЗ ЦПнг	15								
213-I.PIT-K1	Пульт местного управления (213-I.SB)	Преобразователь давления (213-I.PIT)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5				8,6
			РЗ ЦПнг	15								
Насос центробежный поз. 213-II											 	
213-II-S2	Шкаф 8ЩСУ4	Пост сигнализации (213-II.HA1)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5	170			10,7
			РЗ ЦПнг	15								
213-II-K1	Шкаф 3ШУ4 Панель 2	Шкаф 8ЩСУ4					МКЭШнг(A)-LS	10x0,75	10			14
												
213-II-K2	Шкаф 3ШУ4 Панель 5	Шкаф 8ЩСУ4					МКЭШнг(A)-LS	7x0,75	10			10,8
												
213-II-K3	Шкаф 3ШУ4 Панель 2	Пульт местного управления (213-II.SB)	Труба	20х2,8 			МКЭШнг(A)-LS	7x0,75				10,8
			РЗ ЦПнг	15								
213-II-K4	Шкаф 3ШУ4 Панель 5	Пульт местного управления (213-II.SB)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,75				9,1
			РЗ ЦПнг	15								
213-II.PIT-K1	Пульт местного управления (213-II.SB)	Преобразователь давления (213-II.PIT)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5				8,6
			РЗ ЦПнг	15								
Шкаф 8ЩСУ5											 	
Ввод											 	
8SSU5-K1	Шкаф 3ШУ4 Панель 2	Шкаф 8ЩСУ5					МКЭШнг(A)-LS	10x0,75	15			14
			РЗ ЦПнг	20								
Насос центробежный поз. 183-I											 	
183-I-S2	Шкаф 8ЩСУ5	Пост сигнализации (183-I.HA1)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5	110			10,7
			РЗ ЦПнг	15								
183-I-K1	Шкаф 3ШУ4 Панель 2	Шкаф 8ЩСУ5					МКЭШнг(A)-LS	10x0,75	15			14
												
183-I-K2	Шкаф 3ШУ4 Панель 5	Шкаф 8ЩСУ5					МКЭШнг(A)-LS	7x0,75	15			10,8
												
183-I-K3	Шкаф 3ШУ4 Панель 2	Пульт местного управления (183-I.SB)	Труба	20х2,8 			МКЭШнг(A)-LS	7x0,75	110			10,8
			РЗ ЦПнг	15								
183-I-K4	Шкаф 3ШУ4 Панель 5	Пульт местного управления (183-I.SB)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,75	115			9,1
			РЗ ЦПнг	15								
183-I.PIT-K1	Пульт местного управления (183-I.SB)	Преобразователь давления (183-I.PIT)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5	45			8,6
			РЗ ЦПнг	15								
Насос центробежный поз. 183-II											 	
183-II-S2	Шкаф 8ЩСУ5	Пост сигнализации (183-II.HA1)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5				10,7
			РЗ ЦПнг	15								
183-II-K1	Шкаф 3ШУ4 Панель 2	Шкаф 8ЩСУ5					МКЭШнг(A)-LS	10x0,75	15			14
												
183-II-K2	Шкаф 3ШУ4 Панель 5	Шкаф 8ЩСУ5					МКЭШнг(A)-LS	7x0,75	15			10,8
												
183-II-K3	Шкаф 3ШУ4 Панель 2	Пульт местного управления (183-II.SB)	Труба	20х2,8 			МКЭШнг(A)-LS	7x0,75	125			10,8
			РЗ ЦПнг	15								
183-II-K4	Шкаф 3ШУ4 Панель 5	Пульт местного управления (183-II.SB)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,75	125			9,1
			РЗ ЦПнг	15								
183-II.PIT-K1	Пульт местного управления (183-II.SB)	Преобразователь давления (183-II.PIT)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5	40			8,6
			РЗ ЦПнг	15								
Питание шкафа 1099ШСК поз. 1099SSK											 	
1099SSK-K1	Шкаф 3ШУ4 Панель 2	Шкаф 8ЩСУ5					МКЭШнг(A)-LS	7x0,75	15			10,8
												
Питание шкафа 1100ШСК поз. 1100SSK											 	
1100SSK-K1	Шкаф 3ШУ4 Панель 2	Шкаф 8ЩСУ5					МКЭШнг(A)-LS	7x0,75	15			10,8
												
Грохот инерционный поз. 154-I											 	
154-I-S3	Шкаф 8ЩСУ5	Пост сигнализации (154-I.HA1)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5	130			10,7
			РЗ ЦПнг	15								
154-I-K1	Шкаф 3ШУ4 Панель 2	Шкаф 8ЩСУ5					МКЭШнг(A)-LS	10x0,75	15			14
												
154-I-K2	Шкаф 3ШУ4 Панель 2	Пульт местного управления (154-I.SB)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,75	140			9,1
			РЗ ЦПнг	15								
Грохот инерционный поз. 163-I											 	
163-I-S3	Шкаф 8ЩСУ5	Пост сигнализации (163-I.HA1)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5	105			10,7
			РЗ ЦПнг	15								
163-I-K1	Шкаф 3ШУ4 Панель 2	Шкаф 8ЩСУ5					МКЭШнг(A)-LS	10x0,75	15			14
												
163-I-K2	Шкаф 3ШУ4 Панель 2	Пульт местного управления (163-I.SB)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,75	110			9,1
			РЗ ЦПнг	15								
Шкаф 3ЩСУ20											 	
Ввод											 	
3SSU20-K1	Шкаф 3ШУ3	Шкаф 3ЩСУ20					МКЭШнг(A)-LS	10x0,75	5			14
												
Питание шкафа ШУ204-I поз. SU204-I											 	
SU204-I-K1	Шкаф 3ШУ3	Шкаф 3ЩСУ20					МКЭШнг(A)-LS	7x0,75	5			10,8
												
Питание шкафа ШУ204-II поз. SU204-II											 	
SU204-II-K1	Шкаф 3ШУ3	Шкаф 3ЩСУ20					МКЭШнг(A)-LS	7x0,75	5			10,8
												
Питание шкафа ШУ155-IV поз. SU155-IV											 	
SU155-IV-K1	Шкаф 3ШУ3	Шкаф 3ЩСУ20					МКЭШнг(A)-LS	7x0,75	5			10,8
												
Шкаф 3ЩСУ21											 	
Ввод											 	
3SSU21-K1	Шкаф 3ШУ3	Шкаф 3ЩСУ21					МКЭШнг(A)-LS	10x0,75	5			14
												
Питание шкафа ШУ204-IIIпоз. SU204-III											 	
SU204-III-K1	Шкаф 3ШУ3	Шкаф 3ЩСУ21					МКЭШнг(A)-LS	7x0,75	5			10,8
												
Питание шкафа ШУ204-IV поз. SU204-IV											 	
SU204-IV-K1	Шкаф 3ШУ3	Шкаф 3ЩСУ21					МКЭШнг(A)-LS	7x0,75	5			10,8
												
Питание шкафа ШУ204-V поз. SU204-V											 	
SU204-V-K1	Шкаф 3ШУ3	Шкаф 3ЩСУ21					МКЭШнг(A)-LS	7x0,75	5			10,8
												
От КТП											 	
Насос центробежный поз. 181-I											 	
181-I-S2	Шкаф 181-IШ	Пост сигнализации (181-I.HA1)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5	135			10,7
			РЗ ЦПнг	15								
181-I-K1	Шкаф 3ШУ4 Панель 3	Шкаф 181-IШ					МКЭШнг(A)-LS	10x0,75	5			14
												
181-I-K2	Шкаф 3ШУ4 Панель 5	Шкаф 181-IШ					МКЭШнг(A)-LS	7x0,75	5			10,8
												
181-I-K3	Шкаф 3ШУ4 Панель 3	Пульт местного управления (181-I.SB)	Труба	20х2,8 			МКЭШнг(A)-LS	7x0,75	140			10,8
			РЗ ЦПнг	15								
181-I-K4	Шкаф 3ШУ4 Панель 5	Пульт местного управления (181-I.SB)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,75	140			9,1
			РЗ ЦПнг	15								
181-I.PIT-K1	Пульт местного управления (181-I.SB)	Преобразователь давления (181-I.PIT)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5	5			8,6
			РЗ ЦПнг	15								
Насос центробежный поз. 181-II											 	
181-II-S2	Шкаф 181-IIШ	Пост сигнализации (181-II.HA1)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5	135			10,7
			РЗ ЦПнг	15								
181-II-K1	Шкаф 3ШУ4 Панель 3	Шкаф 181-IIШ					МКЭШнг(A)-LS	10x0,75				14
												
181-II-K2	Шкаф 3ШУ4 Панель 5	Шкаф 181-IIШ					МКЭШнг(A)-LS	7x0,75				10,8
												
181-II-K3	Шкаф 3ШУ4 Панель 3	Пульт местного управления (181-II.SB)	Труба	20х2,8 			МКЭШнг(A)-LS	7x0,75	145			10,8
			РЗ ЦПнг	15								
181-II-K4	Шкаф 3ШУ4 Панель 5	Пульт местного управления (181-II.SB)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,75	140			9,1
			РЗ ЦПнг	15								
181-II.PIT-K1	Пульт местного управления (181-II.SB)	Преобразователь давления (181-II.PIT)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5	10			8,6
			РЗ ЦПнг	15								
Насос центробежный поз. 200-II											 	
200-II-S2	Шкаф 200-IIШ	Пост сигнализации (200-II.HA1)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5	105			10,7
			РЗ ЦПнг	15								
200-II-K1	Шкаф 3ШУ4 Панель 3	Шкаф 200-IIШ					МКЭШнг(A)-LS	10x0,75				14
												
200-II-K2	Шкаф 3ШУ4 Панель 5	Шкаф 200-IIШ					МКЭШнг(A)-LS	7x0,75				10,8
												
200-II-K3	Шкаф 3ШУ4 Панель 3	Пульт местного управления (200-II.SB)	Труба	20х2,8 			МКЭШнг(A)-LS	7x0,75	110			10,8
			РЗ ЦПнг	15								
200-II-K4	Шкаф 3ШУ4 Панель 5	Пульт местного управления (200-II.SB)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,75	110			9,1
			РЗ ЦПнг	15								
200-II.PIT-K1	Пульт местного управления (200-II.SB)	Преобразователь давления (200-II.PIT)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5	10			8,6
			РЗ ЦПнг	15								
Насос центробежный поз. 207-I											 	
207-I-S2	Шкаф 207-IШ	Пост сигнализации (207-I.HA1)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5	135			10,7
			РЗ ЦПнг	15								
207-I-K1	Шкаф 3ШУ4 Панель 3	Шкаф 207-IШ					МКЭШнг(A)-LS	10x0,75	5			14
												
207-I-K2	Шкаф 3ШУ4 Панель 5	Шкаф 207-IШ					МКЭШнг(A)-LS	7x0,75	5			10,8
												
207-I-K3	Шкаф 3ШУ4 Панель 3	Пульт местного управления (207-I.SB)	Труба	20х2,8 			МКЭШнг(A)-LS	7x0,75				10,8
			РЗ ЦПнг	15								
207-I-K4	Шкаф 3ШУ4 Панель 5	Пульт местного управления (207-I.SB)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,75				9,1
			РЗ ЦПнг	15								
207-I.PIT-K1	Пульт местного управления (207-I.SB)	Преобразователь давления (207-I.PIT)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5	15			8,6
			РЗ ЦПнг	15								
Насос центробежный поз. 207-II											 	
207-II-S2	Шкаф 207-IIШ	Пост сигнализации (207-II.HA1)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5	95			10,7
